Date,Real,Predicitions,Difference
1995-12-01,19.03,19.900721802824904,0.8707218028249031
1996-01-01,18.86,17.740294386010365,-1.119705613989634
1996-02-01,19.09,19.540073639120514,0.45007363912051446
1996-03-01,21.33,21.47016921634092,0.14016921634092228
1996-04-01,23.5,21.200267863097757,-2.299732136902243
1996-05-01,21.17,19.76045058498156,-1.4095494150184429
1996-06-01,20.42,20.919403812971883,0.49940381297188097
1996-07-01,21.3,20.419881852303753,-0.8801181476962476
1996-08-01,21.9,22.249705932751528,0.3497059327515295
1996-09-01,23.97,24.380365810369412,0.410365810369413
1996-10-01,24.88,24.375057119126367,-0.5049428808736316
1996-11-01,23.71,23.7495907448503,0.039590744850297455
1996-12-01,25.23,25.91979310300646,0.6897931030064584
1997-01-01,25.13,24.14986198233278,-0.980138017667219
1997-02-01,22.18,20.62404524364089,-1.5559547563591103
1997-03-01,20.97,20.409744640168938,-0.5602553598310607
1997-04-01,19.7,20.210425443919934,0.5104254439199352
1997-05-01,20.82,20.88037018357032,0.060370183570320535
1997-06-01,19.26,19.79955154720418,0.5395515472041801
1997-07-01,19.66,20.139975929110122,0.47997592911012177
1997-08-01,19.95,20.32144261745909,0.3714426174590919
1997-09-01,19.8,21.179581532431,1.3795815324310006
1997-10-01,21.33,21.080097910333784,-0.24990208966621452
1997-11-01,20.19,19.1504330815485,-1.0395669184515022
1997-12-01,18.33,17.639961438187214,-0.6900385618127842
1998-01-01,16.72,16.743125902460527,0.023125902460527925
1998-02-01,16.06,15.439981467291888,-0.6200185327081105
1998-03-01,15.12,15.610385902934212,0.4903859029342126
1998-04-01,15.35,15.389593325020902,0.039593325020902626
1998-05-01,14.91,15.199984243006211,0.2899842430062112
1998-06-01,13.72,14.180193753551134,0.4601937535511329
1998-07-01,14.17,14.20990963046067,0.03990963046067009
1998-08-01,13.47,13.867687907557933,0.39768790755793226
1998-09-01,15.03,15.331050124926568,0.3010501249265687
1998-10-01,14.46,14.419892270716714,-0.040107729283286986
1998-11-01,13.0,11.22028213116663,-1.7797178688333695
1998-12-01,11.35,12.927329237133657,1.5773292371336574
1999-01-01,12.52,12.749734008287085,0.22973400828708535
1999-02-01,12.01,12.437894516407333,0.4278945164073331
1999-03-01,14.68,16.760097822271597,2.080097822271597
1999-04-01,17.31,18.659910308506486,1.3499103085064874
1999-05-01,17.72,16.840286423703663,-0.8797135762963357
1999-06-01,17.92,18.01468519509654,0.09468519509653817
1999-07-01,20.1,20.53059098991397,0.43059098991396993
1999-08-01,21.28,21.52620843095484,0.24620843095483735
1999-09-01,23.8,25.01163429702181,1.21163429702181
1999-10-01,22.69,21.749592461755068,-0.9404075382449335
1999-11-01,25.0,24.590529123474482,-0.4094708765255177
1999-12-01,26.1,25.599667674907757,-0.5003323250922449
2000-01-01,27.26,27.63985959686614,0.3798595968661367
2000-02-01,29.37,30.43001925517835,1.06001925517835
2000-03-01,29.84,30.600994709829525,0.7609947098295251
2000-04-01,25.72,25.739946146000083,0.019946146000084042
2000-05-01,28.79,29.009557840068993,0.21955784006899393
2000-06-01,31.82,32.50038639724598,0.6803863972459823
2000-07-01,29.7,27.430362999561307,-2.269637000438692
2000-08-01,31.26,33.11964345542966,1.8596434554296586
2000-09-01,33.88,33.530070161194686,-0.34992983880531625
2000-10-01,33.11,32.84935282149284,-0.26064717850715624
2000-11-01,34.42,31.736132371635023,-2.683867628364979
2000-12-01,28.44,26.799990004206407,-1.6400099957935943
2001-01-01,29.59,28.65966410761732,-0.9303358923826792
2001-02-01,29.61,27.39022710966542,-2.2197728903345784
2001-03-01,27.25,26.2901248055584,-0.9598751944416009
2001-04-01,27.49,28.459718827049247,0.9697188270492489
2001-05-01,28.63,28.406824290780133,-0.2231757092198663
2001-06-01,27.6,26.250183155902338,-1.3498168440976634
2001-07-01,26.43,26.34983760582899,-0.08016239417100834
2001-08-01,27.37,27.20015484328188,-0.16984515671812161
2001-09-01,26.2,26.28487458277557,0.08487458277556925
2001-10-01,22.17,21.18016784630292,-0.9898321536970833
2001-11-01,19.64,19.439711616782997,-0.20028838321700349
2001-12-01,19.39,19.84011947579865,0.4501194757986511
2002-01-01,19.72,19.480062781334013,-0.23993721866598605
2002-02-01,20.72,21.740185797566284,1.0201857975662847
2002-03-01,24.53,26.30960873342546,1.7796087334254587
2002-04-01,26.18,27.290374663848326,1.1103746638483258
2002-05-01,27.04,25.310352623716337,-1.729647376283662
2002-06-01,25.52,26.859579010833997,1.3395790108339973
2002-07-01,26.97,27.019916252507365,0.049916252507365755
2002-08-01,28.39,28.429800088578496,0.03980008857849526
2002-09-01,29.66,30.449664081301606,0.7896640813016056
2002-10-01,28.84,30.41681395031309,1.5768139503130918
2002-11-01,26.35,26.89011636814826,0.5401163681482579
2002-12-01,29.46,31.199848047105867,1.7398480471058662
2003-01-01,32.95,33.51022992092833,0.5602299209283288
2003-02-01,35.83,36.59982233976199,0.7698223397619941
2003-03-01,33.51,31.039562670175005,-2.4704373298249926
2003-04-01,28.17,25.800314675469817,-2.3696853245301845
2003-05-01,28.11,29.559422543660723,1.4494225436607238
2003-06-01,30.66,30.18994701548161,-0.4700529845183894
2003-07-01,30.76,30.540252603395906,-0.21974739660409526
