"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"Nov 2000","115.100","116.520","118.450","114.050","17.96K","-1.30%"
"Oct 2000","116.620","112.870","118.900","112.720","14.53K","3.20%"
"Sep 2000","113.000","112.300","116.450","111.200","15.70K","0.38%"
"Ago 2000","112.570","109.280","112.880","109.100","14.61K","2.93%"
"Jul 2000","109.370","106.630","109.700","106.440","12.94K","2.62%"
"Jun 2000","106.580","108.540","109.350","105.500","13.80K","-1.94%"
"May 2000","108.690","109.680","112.660","108.140","27.64K","-1.18%"
"Abr 2000","109.990","105.310","110.150","103.850","24.46K","4.59%"
"Mar 2000","105.160","106.160","106.630","104.180","26.92K","-0.68%"
"Feb 2000","105.880","104.860","106.240","102.920","18.08K","0.87%"
"Ene 2000","104.970","101.390","105.140","99.400","25.25K","3.39%"
"Dic 1999","101.530","101.900","102.730","100.500","16.41K","-0.37%"
"Nov 1999","101.910","98.770","102.300","98.550","24.38K","3.01%"
"Oct 1999","98.930","98.190","99.710","96.650","24.99K","0.74%"
"Sep 1999","98.200","100.000","101.120","97.920","17.04K","-1.66%"
"Ago 1999","99.860","99.800","101.370","98.680","20.70K","0.32%"
"Jul 1999","99.540","102.470","104.600","99.420","26.29K","-2.92%"
"Jun 1999","102.530","102.230","103.330","100.900","23.73K","0.02%"
"May 1999","102.510","100.820","102.550","99.180","33.42K","1.61%"
"Abr 1999","100.890","99.890","101.270","99.250","17.70K","0.97%"
"Mar 1999","99.920","98.850","100.580","98.010","22.57K","1.25%"
"Feb 1999","98.690","95.830","99.450","95.370","30.64K","2.76%"
"Ene 1999","96.040","93.700","96.160","93.120","31.48K","2.21%"
"Dic 1998","93.960","96.040","96.000","93.160","24.30K","-2.31%"
"Nov 1998","96.180","93.400","96.950","93.220","23.16K","2.73%"
"Oct 1998","93.620","96.020","96.190","90.740","25.71K","-2.50%"
"Sep 1998","96.020","99.580","100.100","95.310","21.16K","-4.10%"
"Ago 1998","100.130","100.930","102.820","99.500","43.33K","-0.95%"
"Jul 1998","101.090","100.770","102.460","99.970","31.40K","0.11%"
"Jun 1998","100.980","100.250","102.470","99.350","19.35K","0.55%"
"May 1998","100.430","99.600","100.630","98.400","38.61K","0.84%"
"Abr 1998","99.590","101.350","102.000","98.940","35.54K","-1.76%"
"Mar 1998","101.370","99.610","101.500","99.100","34.22K","1.61%"
"Feb 1998","99.760","100.720","100.920","98.420","32.76K","-0.91%"
"Ene 1998","100.680","99.790","101.650","97.050","46.76K","1.11%"
"Dic 1997","99.570","97.630","99.680","97.720","26.62K","1.80%"
"Nov 1997","97.810","95.480","97.950","94.650","27.88K","2.53%"
"Oct 1997","95.400","96.970","98.100","94.750","40.99K","-1.57%"
"Sep 1997","96.920","99.290","100.200","96.400","27.41K","-2.10%"
